altitude,cadence,distance,enhanced_altitude,enhanced_speed,heart_rate,power,speed,timestamp
261.0,85,7.01,261.0,7.011,128,166,7.011,2024-06-05 10:59:31
257.20000000000005,84,13.66,257.20000000000005,6.645,127,193,6.645,2024-06-05 10:59:32
259.0,83,21.05,259.0,7.391,124,178,7.391,2024-06-05 10:59:33
259.79999999999995,85,28.34,259.79999999999995,7.293,128,205,7.293,2024-06-05 10:59:34
262.79999999999995,88,37.15,262.79999999999995,8.811,127,177,8.811,2024-06-05 10:59:35
256.79999999999995,87,44.22,256.79999999999995,7.065,135,178,7.065,2024-06-05 10:59:36
261.4,84,51.35,261.4,7.133,128,173,7.133,2024-06-05 10:59:37
257.20000000000005,88,57.84,257.20000000000005,6.492,126,173,6.492,2024-06-05 10:59:38
261.6,81,65.51,261.6,7.673,134,193,7.673,2024-06-05 10:59:39
258.79999999999995,87,72.87,258.79999999999995,7.355,128,182,7.355,2024-06-05 10:59:40
261.20000000000005,82,80.66,261.20000000000005,7.788,125,189,7.788,2024-06-05 10:59:41
257.4,84,87.64,257.4,6.989,133,172,6.989,2024-06-05 10:59:42
261.20000000000005,85,94.78,261.20000000000005,7.131,137,181,7.131,2024-06-05 10:59:43
259.79999999999995,89,101.91,259.79999999999995,7.13,125,171,7.13,2024-06-05 10:59:44
256.20000000000005,88,108.78,256.20000000000005,6.872,131,179,6.872,2024-06-05 10:59:45
259.6,82,115.83,259.6,7.048,136,187,7.048,2024-06-05 10:59:46
258.20000000000005,87,122.9,258.20000000000005,7.073,132,191,7.073,2024-06-05 10:59:47
257.4,88,130.44,257.4,7.542,125,189,7.542,2024-06-05 10:59:48
259.0,90,138.44,259.0,7.995,128,180,7.995,2024-06-05 10:59:49
259.20000000000005,83,145.5,259.20000000000005,7.059,127,171,7.059,2024-06-05 10:59:50
259.79999999999995,87,152.59,259.79999999999995,7.092,127,184,7.092,2024-06-05 10:59:51
258.79999999999995,89,159.61,258.79999999999995,7.027,127,192,7.027,2024-06-05 10:59:52
262.4,85,167.05,262.4,7.439,128,167,7.439,2024-06-05 10:59:53
258.0,86,174.08,258.0,7.028,128,185,7.028,2024-06-05 10:59:54
257.79999999999995,83,181.36,257.79999999999995,7.274,122,170,7.274,2024-06-05 10:59:55
260.6,84,187.45,260.6,6.091,133,185,6.091,2024-06-05 10:59:56
259.0,85,193.57,259.0,6.119,133,183,6.119,2024-06-05 10:59:57
256.20000000000005,79,200.47,256.20000000000005,6.905,128,182,6.905,2024-06-05 10:59:58
258.4,84,207.21,258.4,6.741,124,175,6.741,2024-06-05 10:59:59
258.0,84,215.1,258.0,7.888,130,184,7.888,2024-06-05 11:00:00
259.0,86,222.27,259.0,7.172,137,178,7.172,2024-06-05 11:00:01
259.20000000000005,85,229.17,259.20000000000005,6.899,124,167,6.899,2024-06-05 11:00:02
261.6,88,236.6,261.6,7.423,133,157,7.423,2024-06-05 11:00:03
262.0,83,242.89,262.0,6.295,121,174,6.295,2024-06-05 11:00:04
259.6,86,249.7,259.6,6.809,130,184,6.809,2024-06-05 11:00:05
262.4,88,256.31,262.4,6.614,129,185,6.614,2024-06-05 11:00:06
262.20000000000005,89,263.02,262.20000000000005,6.704,133,179,6.704,2024-06-05 11:00:07
257.20000000000005,78,270.14,257.20000000000005,7.127,129,156,7.127,2024-06-05 11:00:08
259.20000000000005,83,277.01,259.20000000000005,6.862,131,187,6.862,2024-06-05 11:00:09
262.20000000000005,86,283.67,262.20000000000005,6.662,118,172,6.662,2024-06-05 11:00:10
259.0,84,290.77,259.0,7.101,127,167,7.101,2024-06-05 11:00:11
262.0,81,297.5,262.0,6.731,123,185,6.731,2024-06-05 11:00:12
257.4,84,304.11,257.4,6.609,127,180,6.609,2024-06-05 11:00:13
260.20000000000005,84,310.61,260.20000000000005,6.504,126,185,6.504,2024-06-05 11:00:14
256.20000000000005,84,317.28,256.20000000000005,6.667,136,156,6.667,2024-06-05 11:00:15
256.4,82,323.56,256.4,6.283,124,174,6.283,2024-06-05 11:00:16
259.6,87,331.31,259.6,7.747,130,189,7.747,2024-06-05 11:00:17
257.20000000000005,84,338.43,257.20000000000005,7.121,137,154,7.121,2024-06-05 11:00:18
262.20000000000005,81,345.73,262.20000000000005,7.299,134,175,7.299,2024-06-05 11:00:19
257.4,83,352.23,257.4,6.497,130,199,6.497,2024-06-05 11:00:20
262.6,84,359.77,262.6,7.537,127,192,7.537,2024-06-05 11:00:21
262.0,85,366.06,262.0,6.292,135,152,6.292,2024-06-05 11:00:22
260.4,83,374.01,260.4,7.948,134,189,7.948,2024-06-05 11:00:23
257.4,78,381.23,257.4,7.227,117,181,7.227,2024-06-05 11:00:24
259.0,85,388.34,259.0,7.107,144,165,7.107,2024-06-05 11:00:25
262.0,83,395.1,262.0,6.76,121,176,6.76,2024-06-05 11:00:26
259.0,83,402.47,259.0,7.374,139,182,7.374,2024-06-05 11:00:27
261.20000000000005,84,409.73,261.20000000000005,7.261,136,191,7.261,2024-06-05 11:00:28
257.20000000000005,83,417.78,257.20000000000005,8.042,126,192,8.042,2024-06-05 11:00:29
259.20000000000005,90,424.57,259.20000000000005,6.788,127,163,6.788,2024-06-05 11:00:30
256.6,86,430.49,256.6,5.927,133,187,5.927,2024-06-05 11:00:31
257.0,82,437.93,257.0,7.438,128,201,7.438,2024-06-05 11:00:32
258.4,87,446.16,258.4,8.23,136,173,8.23,2024-06-05 11:00:33
258.20000000000005,85,453.5,258.20000000000005,7.338,134,173,7.338,2024-06-05 11:00:34
261.20000000000005,82,461.27,261.20000000000005,7.777,129,171,7.777,2024-06-05 11:00:35
263.6,83,467.09,263.6,5.816,131,173,5.816,2024-06-05 11:00:36
258.6,85,474.04,258.6,6.953,134,166,6.953,2024-06-05 11:00:37
262.20000000000005,83,480.87,262.20000000000005,6.823,128,172,6.823,2024-06-05 11:00:38
257.79999999999995,84,488.33,257.79999999999995,7.468,126,151,7.468,2024-06-05 11:00:39
256.4,81,495.38,256.4,7.044,134,184,7.044,2024-06-05 11:00:40
260.4,88,503.12,260.4,7.739,129,185,7.739,2024-06-05 11:00:41
260.4,83,511.04,260.4,7.924,133,175,7.924,2024-06-05 11:00:42
261.20000000000005,84,518.52,261.20000000000005,7.483,123,184,7.483,2024-06-05 11:00:43
259.79999999999995,86,525.12,259.79999999999995,6.597,117,184,6.597,2024-06-05 11:00:44
258.6,85,530.95,258.6,5.832,133,181,5.832,2024-06-05 11:00:45
257.4,84,538.89,257.4,7.933,131,186,7.933,2024-06-05 11:00:46
