altitude,cadence,distance,enhanced_altitude,enhanced_speed,heart_rate,power,speed,timestamp
249.0,87,7.12,249.0,7.119,151,214,7.119,2024-06-05 10:59:31
250.0,92,14.32,250.0,7.198,153,245,7.198,2024-06-05 10:59:32
255.0,92,22.43,255.0,8.11,146,213,8.11,2024-06-05 10:59:33
255.79999999999995,97,30.73,255.79999999999995,8.305,140,243,8.305,2024-06-05 10:59:34
254.60000000000002,90,39.31,254.60000000000002,8.575,170,199,8.575,2024-06-05 10:59:35
257.0,96,46.97,257.0,7.666,143,219,7.666,2024-06-05 10:59:36
252.39999999999998,96,55.45,252.39999999999998,8.475,135,230,8.475,2024-06-05 10:59:37
255.20000000000005,95,63.21,255.20000000000005,7.767,143,276,7.767,2024-06-05 10:59:38
255.39999999999998,83,71.83,255.39999999999998,8.614,157,258,8.614,2024-06-05 10:59:39
251.60000000000002,91,80.11,251.60000000000002,8.284,156,202,8.284,2024-06-05 10:59:40
253.20000000000005,87,88.8,253.20000000000005,8.69,173,200,8.69,2024-06-05 10:59:41
258.20000000000005,96,96.66,258.20000000000005,7.856,150,234,7.856,2024-06-05 10:59:42
255.60000000000002,90,104.86,255.60000000000002,8.198,136,224,8.198,2024-06-05 10:59:43
256.79999999999995,84,113.42,256.79999999999995,8.565,129,198,8.565,2024-06-05 10:59:44
256.6,92,121.31,256.6,7.885,145,235,7.885,2024-06-05 10:59:45
251.20000000000005,100,129.17,251.20000000000005,7.867,165,260,7.867,2024-06-05 10:59:46
252.0,90,136.6,252.0,7.423,169,191,7.423,2024-06-05 10:59:47
257.4,99,144.69,257.4,8.091,144,199,8.091,2024-06-05 10:59:48
255.0,87,153.24,255.0,8.556,162,192,8.556,2024-06-05 10:59:49
256.6,94,161.67,256.6,8.432,137,177,8.432,2024-06-05 10:59:50
258.6,92,169.69,258.6,8.013,146,249,8.013,2024-06-05 10:59:51
256.79999999999995,87,176.62,256.79999999999995,6.933,171,219,6.933,2024-06-05 10:59:52
256.4,85,185.08,256.4,8.463,142,258,8.463,2024-06-05 10:59:53
258.0,89,193.19,258.0,8.105,137,215,8.105,2024-06-05 10:59:54
253.60000000000002,90,200.25,253.60000000000002,7.059,152,198,7.059,2024-06-05 10:59:55
254.39999999999998,83,207.78,254.39999999999998,7.537,143,225,7.537,2024-06-05 10:59:56
253.39999999999998,77,215.09,253.39999999999998,7.305,160,225,7.305,2024-06-05 10:59:57
254.60000000000002,92,223.25,254.60000000000002,8.159,153,190,8.159,2024-06-05 10:59:58
253.60000000000002,89,231.39,253.60000000000002,8.146,163,205,8.146,2024-06-05 10:59:59
253.79999999999995,91,238.99,253.79999999999995,7.597,139,220,7.597,2024-06-05 11:00:00
254.20000000000005,91,247.95,254.20000000000005,8.954,152,230,8.954,2024-06-05 11:00:01
254.79999999999995,84,255.88,254.79999999999995,7.931,158,213,7.931,2024-06-05 11:00:02
254.60000000000002,96,264.19,254.60000000000002,8.313,160,208,8.313,2024-06-05 11:00:03
254.0,87,271.85,254.0,7.66,151,185,7.66,2024-06-05 11:00:04
255.0,100,279.33,255.0,7.483,155,215,7.483,2024-06-05 11:00:05
255.39999999999998,81,287.55,255.39999999999998,8.215,152,233,8.215,2024-06-05 11:00:06
254.0,90,294.33,254.0,6.785,139,207,6.785,2024-06-05 11:00:07
253.39999999999998,86,302.1,253.39999999999998,7.769,148,226,7.769,2024-06-05 11:00:08
254.79999999999995,92,310.46,254.79999999999995,8.365,140,222,8.365,2024-06-05 11:00:09
254.20000000000005,79,318.39,254.20000000000005,7.925,153,225,7.925,2024-06-05 11:00:10
258.6,76,325.46,258.6,7.072,158,233,7.072,2024-06-05 11:00:11
252.79999999999995,91,334.13,252.79999999999995,8.667,133,241,8.667,2024-06-05 11:00:12
251.20000000000005,94,342.57,251.20000000000005,8.437,146,190,8.437,2024-06-05 11:00:13
253.79999999999995,86,349.89,253.79999999999995,7.32,129,203,7.32,2024-06-05 11:00:14
253.79999999999995,91,357.82,253.79999999999995,7.933,153,252,7.933,2024-06-05 11:00:15
257.4,90,366.25,257.4,8.43,134,223,8.43,2024-06-05 11:00:16
251.20000000000005,86,375.19,251.20000000000005,8.942,154,198,8.942,2024-06-05 11:00:17
255.60000000000002,89,382.66,255.60000000000002,7.464,119,209,7.464,2024-06-05 11:00:18
254.79999999999995,88,391.18,254.79999999999995,8.529,144,219,8.529,2024-06-05 11:00:19
253.79999999999995,88,398.41,253.79999999999995,7.226,154,226,7.226,2024-06-05 11:00:20
259.0,89,406.88,259.0,8.467,142,192,8.467,2024-06-05 11:00:21
255.60000000000002,89,414.46,255.60000000000002,7.582,133,234,7.582,2024-06-05 11:00:22
258.6,88,423.09,258.6,8.634,157,223,8.634,2024-06-05 11:00:23
257.79999999999995,90,431.39,257.79999999999995,8.294,153,199,8.294,2024-06-05 11:00:24
254.39999999999998,97,439.08,254.39999999999998,7.692,146,219,7.692,2024-06-05 11:00:25
257.4,84,448.1,257.4,9.018,157,194,9.018,2024-06-05 11:00:26
256.4,83,455.62,256.4,7.524,153,230,7.524,2024-06-05 11:00:27
258.6,87,463.95,258.6,8.331,150,213,8.331,2024-06-05 11:00:28
254.79999999999995,91,471.62,254.79999999999995,7.669,155,242,7.669,2024-06-05 11:00:29
252.20000000000005,103,480.39,252.20000000000005,8.767,165,222,8.767,2024-06-05 11:00:30
253.0,86,487.74,253.0,7.356,148,223,7.356,2024-06-05 11:00:31
255.79999999999995,85,496.24,255.79999999999995,8.492,154,212,8.492,2024-06-05 11:00:32
255.20000000000005,89,504.0,255.20000000000005,7.762,161,179,7.762,2024-06-05 11:00:33
255.20000000000005,91,512.64,255.20000000000005,8.64,141,202,8.64,2024-06-05 11:00:34
256.79999999999995,79,520.94,256.79999999999995,8.298,147,218,8.298,2024-06-05 11:00:35
254.20000000000005,87,529.24,254.20000000000005,8.3,150,255,8.3,2024-06-05 11:00:36
256.20000000000005,92,536.82,256.20000000000005,7.581,152,271,7.581,2024-06-05 11:00:37
252.79999999999995,89,544.71,252.79999999999995,7.894,162,211,7.894,2024-06-05 11:00:38
256.0,94,553.49,256.0,8.774,159,203,8.774,2024-06-05 11:00:39
258.0,80,561.51,258.0,8.023,147,239,8.023,2024-06-05 11:00:40
254.20000000000005,89,569.63,254.20000000000005,8.118,164,206,8.118,2024-06-05 11:00:41
254.60000000000002,82,578.86,254.60000000000002,9.237,160,182,9.237,2024-06-05 11:00:42
254.60000000000002,95,587.73,254.60000000000002,8.866,169,196,8.866,2024-06-05 11:00:43
250.0,95,596.46,250.0,8.726,154,257,8.726,2024-06-05 11:00:44
253.79999999999995,86,604.74,253.79999999999995,8.282,144,252,8.282,2024-06-05 11:00:45
255.20000000000005,90,612.6,255.20000000000005,7.863,147,234,7.863,2024-06-05 11:00:46
257.4,90,621.21,257.4,8.607,149,228,8.607,2024-06-05 11:00:47
254.60000000000002,96,629.11,254.60000000000002,7.899,158,223,7.899,2024-06-05 11:00:48
250.20000000000005,83,637.08,250.20000000000005,7.975,144,203,7.975,2024-06-05 11:00:49
260.6,82,645.67,260.6,8.589,156,237,8.589,2024-06-05 11:00:50
256.20000000000005,94,653.23,256.20000000000005,7.56,144,240,7.56,2024-06-05 11:00:51
256.4,87,661.72,256.4,8.491,147,226,8.491,2024-06-05 11:00:52
254.20000000000005,97,669.51,254.20000000000005,7.784,147,208,7.784,2024-06-05 11:00:53
255.39999999999998,99,677.8,255.39999999999998,8.29,152,203,8.29,2024-06-05 11:00:54
251.20000000000005,94,686.18,251.20000000000005,8.379,149,208,8.379,2024-06-05 11:00:55
257.0,86,694.48,257.0,8.303,141,236,8.303,2024-06-05 11:00:56
255.20000000000005,93,703.08,255.20000000000005,8.6,150,225,8.6,2024-06-05 11:00:57
254.79999999999995,91,712.57,254.79999999999995,9.488,158,226,9.488,2024-06-05 11:00:58
