altitude,cadence,distance,enhanced_altitude,enhanced_speed,heart_rate,power,speed,timestamp
248.79999999999995,86,8.02,248.79999999999995,8.019,160,281,8.019,2024-06-05 10:59:31
250.39999999999998,88,17.72,250.39999999999998,9.697,153,280,9.697,2024-06-05 10:59:32
251.60000000000002,98,27.18,251.60000000000002,9.466,158,267,9.466,2024-06-05 10:59:33
249.39999999999998,91,36.3,249.39999999999998,9.114,164,278,9.114,2024-06-05 10:59:34
249.0,96,46.03,249.0,9.734,159,289,9.734,2024-06-05 10:59:35
251.60000000000002,91,54.3,251.60000000000002,8.269,160,293,8.269,2024-06-05 10:59:36
250.20000000000005,84,62.83,250.20000000000005,8.535,158,265,8.535,2024-06-05 10:59:37
249.20000000000005,96,73.02,249.20000000000005,10.191,161,265,10.191,2024-06-05 10:59:38
248.0,88,83.28,248.0,10.253,161,295,10.253,2024-06-05 10:59:39
248.0,89,91.87,248.0,8.589,153,245,8.589,2024-06-05 10:59:40
248.79999999999995,95,100.16,248.79999999999995,8.29,149,272,8.29,2024-06-05 10:59:41
248.39999999999998,86,109.58,248.39999999999998,9.422,154,295,9.422,2024-06-05 10:59:42
247.60000000000002,90,118.56,247.60000000000002,8.979,162,260,8.979,2024-06-05 10:59:43
252.0,89,127.8,252.0,9.244,156,303,9.244,2024-06-05 10:59:44
251.60000000000002,100,137.37,251.60000000000002,9.565,157,274,9.565,2024-06-05 10:59:45
247.39999999999998,100,145.56,247.39999999999998,8.19,156,248,8.19,2024-06-05 10:59:46
248.20000000000005,94,154.6,248.20000000000005,9.038,167,269,9.038,2024-06-05 10:59:47
250.20000000000005,99,164.48,250.20000000000005,9.885,162,281,9.885,2024-06-05 10:59:48
250.20000000000005,96,173.48,250.20000000000005,9.004,154,335,9.004,2024-06-05 10:59:49
251.79999999999995,96,182.58,251.79999999999995,9.092,167,248,9.092,2024-06-05 10:59:50
249.60000000000002,94,190.0,249.60000000000002,7.427,154,276,7.427,2024-06-05 10:59:51
249.0,88,198.58,249.0,8.577,164,280,8.577,2024-06-05 10:59:52
250.60000000000002,94,209.32,250.60000000000002,10.741,163,266,10.741,2024-06-05 10:59:53
249.0,93,216.54,249.0,7.223,171,309,7.223,2024-06-05 10:59:54
246.39999999999998,98,225.76,246.39999999999998,9.213,158,251,9.213,2024-06-05 10:59:55
253.39999999999998,103,235.44,253.39999999999998,9.682,161,278,9.682,2024-06-05 10:59:56
248.79999999999995,93,244.86,248.79999999999995,9.425,164,270,9.425,2024-06-05 10:59:57
249.0,96,253.17,249.0,8.311,162,248,8.311,2024-06-05 10:59:58
248.39999999999998,88,262.08,248.39999999999998,8.906,158,264,8.906,2024-06-05 10:59:59
249.0,98,269.4,249.0,7.317,153,300,7.317,2024-06-05 11:00:00
253.0,91,277.68,253.0,8.281,158,309,8.281,2024-06-05 11:00:01
250.20000000000005,95,286.15,250.20000000000005,8.469,160,287,8.469,2024-06-05 11:00:02
247.20000000000005,94,294.71,247.20000000000005,8.564,162,288,8.564,2024-06-05 11:00:03
247.60000000000002,104,303.15,247.60000000000002,8.441,157,286,8.441,2024-06-05 11:00:04
254.0,99,309.97,254.0,6.822,163,298,6.822,2024-06-05 11:00:05
249.39999999999998,95,319.91,249.39999999999998,9.94,158,263,9.94,2024-06-05 11:00:06
251.20000000000005,89,330.98,251.20000000000005,11.063,164,277,11.063,2024-06-05 11:00:07
247.79999999999995,97,340.51,247.79999999999995,9.536,156,289,9.536,2024-06-05 11:00:08
251.39999999999998,96,347.25,251.39999999999998,6.741,153,286,6.741,2024-06-05 11:00:09
251.39999999999998,96,356.43,251.39999999999998,9.176,171,287,9.176,2024-06-05 11:00:10
249.0,94,365.94,249.0,9.515,160,309,9.515,2024-06-05 11:00:11
250.0,93,374.54,250.0,8.597,155,301,8.597,2024-06-05 11:00:12
246.79999999999995,91,383.58,246.79999999999995,9.043,154,258,9.043,2024-06-05 11:00:13
251.39999999999998,88,391.85,251.39999999999998,8.268,154,269,8.268,2024-06-05 11:00:14
251.79999999999995,94,400.68,251.79999999999995,8.83,164,298,8.83,2024-06-05 11:00:15
250.60000000000002,97,409.88,250.60000000000002,9.195,149,279,9.195,2024-06-05 11:00:16
252.20000000000005,94,419.34,252.20000000000005,9.46,166,271,9.46,2024-06-05 11:00:17
247.20000000000005,91,429.82,247.20000000000005,10.485,164,293,10.485,2024-06-05 11:00:18
251.39999999999998,98,438.47,251.39999999999998,8.648,135,275,8.648,2024-06-05 11:00:19
252.60000000000002,98,447.11,252.60000000000002,8.644,164,282,8.644,2024-06-05 11:00:20
249.20000000000005,95,455.36,249.20000000000005,8.247,158,287,8.247,2024-06-05 11:00:21
247.20000000000005,98,464.25,247.20000000000005,8.889,163,268,8.889,2024-06-05 11:00:22
248.20000000000005,90,472.9,248.20000000000005,8.654,159,265,8.654,2024-06-05 11:00:23
252.0,83,481.94,252.0,9.042,165,296,9.042,2024-06-05 11:00:24
253.0,100,494.2,253.0,12.253,157,261,12.253,2024-06-05 11:00:25
246.79999999999995,94,503.69,246.79999999999995,9.493,160,321,9.493,2024-06-05 11:00:26
250.39999999999998,84,514.32,250.39999999999998,10.627,154,276,10.627,2024-06-05 11:00:27
250.60000000000002,98,523.21,250.60000000000002,8.896,165,266,8.896,2024-06-05 11:00:28
253.20000000000005,93,532.38,253.20000000000005,9.168,160,299,9.168,2024-06-05 11:00:29
248.60000000000002,96,542.53,248.60000000000002,10.145,164,293,10.145,2024-06-05 11:00:30
248.79999999999995,100,552.2,248.79999999999995,9.673,156,307,9.673,2024-06-05 11:00:31
252.0,87,562.23,252.0,10.034,158,313,10.034,2024-06-05 11:00:32
247.39999999999998,100,570.0,247.39999999999998,7.764,162,314,7.764,2024-06-05 11:00:33
250.79999999999995,94,579.53,250.79999999999995,9.532,166,261,9.532,2024-06-05 11:00:34
247.0,85,590.38,247.0,10.852,165,277,10.852,2024-06-05 11:00:35
250.39999999999998,101,598.45,250.39999999999998,8.069,157,326,8.069,2024-06-05 11:00:36
247.0,88,608.2,247.0,9.752,163,267,9.752,2024-06-05 11:00:37
250.0,92,616.87,250.0,8.67,156,300,8.67,2024-06-05 11:00:38
244.79999999999995,99,626.43,244.79999999999995,9.554,151,260,9.554,2024-06-05 11:00:39
248.60000000000002,99,634.93,248.60000000000002,8.5,157,276,8.5,2024-06-05 11:00:40
251.20000000000005,87,642.22,251.20000000000005,7.293,160,275,7.293,2024-06-05 11:00:41
248.20000000000005,96,651.92,248.20000000000005,9.704,155,332,9.704,2024-06-05 11:00:42
248.20000000000005,96,662.97,248.20000000000005,11.049,160,281,11.049,2024-06-05 11:00:43
252.20000000000005,92,671.57,252.20000000000005,8.601,161,291,8.601,2024-06-05 11:00:44
249.79999999999995,91,681.04,249.79999999999995,9.466,154,281,9.466,2024-06-05 11:00:45
245.20000000000005,99,690.24,245.20000000000005,9.202,159,271,9.202,2024-06-05 11:00:46
246.60000000000002,93,697.75,246.60000000000002,7.507,157,283,7.507,2024-06-05 11:00:47
251.39999999999998,98,707.5,251.39999999999998,9.747,173,275,9.747,2024-06-05 11:00:48
250.0,95,716.13,250.0,8.63,155,281,8.63,2024-06-05 11:00:49
253.60000000000002,92,725.62,253.60000000000002,9.498,165,280,9.498,2024-06-05 11:00:50
251.20000000000005,92,734.28,251.20000000000005,8.656,152,286,8.656,2024-06-05 11:00:51
254.0,89,743.04,254.0,8.756,172,274,8.756,2024-06-05 11:00:52
249.39999999999998,92,754.79,249.39999999999998,11.751,159,239,11.751,2024-06-05 11:00:53
252.60000000000002,95,763.76,252.60000000000002,8.975,166,306,8.975,2024-06-05 11:00:54
249.20000000000005,101,775.42,249.20000000000005,11.657,162,274,11.657,2024-06-05 11:00:55
250.39999999999998,94,786.22,250.39999999999998,10.803,158,329,10.803,2024-06-05 11:00:56
248.20000000000005,104,794.54,248.20000000000005,8.316,162,263,8.316,2024-06-05 11:00:57
251.79999999999995,90,802.04,251.79999999999995,7.504,154,275,7.504,2024-06-05 11:00:58
251.39999999999998,96,811.87,251.39999999999998,9.825,158,271,9.825,2024-06-05 11:00:59
248.60000000000002,96,818.56,248.60000000000002,6.692,156,299,6.692,2024-06-05 11:01:00
249.39999999999998,98,827.5,249.39999999999998,8.944,160,272,8.944,2024-06-05 11:01:01
246.39999999999998,107,836.67,246.39999999999998,9.161,162,262,9.161,2024-06-05 11:01:02
253.0,92,845.93,253.0,9.26,156,297,9.26,2024-06-05 11:01:03
250.39999999999998,91,854.51,250.39999999999998,8.583,160,301,8.583,2024-06-05 11:01:04
250.39999999999998,96,864.48,250.39999999999998,9.976,161,307,9.976,2024-06-05 11:01:05
251.20000000000005,101,873.82,251.20000000000005,9.337,155,297,9.337,2024-06-05 11:01:06
249.20000000000005,91,880.83,249.20000000000005,7.006,158,289,7.006,2024-06-05 11:01:07
249.79999999999995,93,891.12,249.79999999999995,10.29,155,278,10.29,2024-06-05 11:01:08
247.79999999999995,102,901.48,247.79999999999995,10.364,151,285,10.364,2024-06-05 11:01:09
250.79999999999995,100,911.38,250.79999999999995,9.904,154,270,9.904,2024-06-05 11:01:10
249.0,98,919.97,249.0,8.583,166,282,8.583,2024-06-05 11:01:11
249.60000000000002,100,928.61,249.60000000000002,8.646,156,257,8.646,2024-06-05 11:01:12
252.60000000000002,96,937.56,252.60000000000002,8.951,156,299,8.951,2024-06-05 11:01:13
252.0,102,947.3,252.0,9.733,171,296,9.733,2024-06-05 11:01:14
249.0,91,955.85,249.0,8.555,159,251,8.555,2024-06-05 11:01:15
249.20000000000005,85,964.8,249.20000000000005,8.947,156,286,8.947,2024-06-05 11:01:16
248.79999999999995,92,974.25,248.79999999999995,9.446,162,279,9.446,2024-06-05 11:01:17
251.20000000000005,89,982.06,251.20000000000005,7.816,164,227,7.816,2024-06-05 11:01:18
251.79999999999995,89,990.74,251.79999999999995,8.678,163,278,8.678,2024-06-05 11:01:19
248.0,97,998.17,248.0,7.431,158,296,7.431,2024-06-05 11:01:20
248.79999999999995,88,1007.57,248.79999999999995,9.399,154,276,9.399,2024-06-05 11:01:21
252.20000000000005,84,1017.2,252.20000000000005,9.63,163,292,9.63,2024-06-05 11:01:22
246.20000000000005,100,1025.88,246.20000000000005,8.68,162,300,8.68,2024-06-05 11:01:23
248.79999999999995,100,1035.57,248.79999999999995,9.688,160,297,9.688,2024-06-05 11:01:24
251.20000000000005,109,1043.55,251.20000000000005,7.98,156,260,7.98,2024-06-05 11:01:25
246.0,100,1052.4,246.0,8.853,164,261,8.853,2024-06-05 11:01:26
251.20000000000005,88,1059.85,251.20000000000005,7.45,155,273,7.45,2024-06-05 11:01:27
250.0,89,1069.75,250.0,9.902,161,290,9.902,2024-06-05 11:01:28
250.79999999999995,95,1079.25,250.79999999999995,9.496,153,309,9.496,2024-06-05 11:01:29
251.39999999999998,91,1090.75,251.39999999999998,11.5,157,280,11.5,2024-06-05 11:01:30
248.60000000000002,88,1100.03,248.60000000000002,9.28,162,268,9.28,2024-06-05 11:01:31
250.20000000000005,86,1108.53,250.20000000000005,8.5,160,262,8.5,2024-06-05 11:01:32
249.0,93,1117.96,249.0,9.426,162,274,9.426,2024-06-05 11:01:33
252.39999999999998,99,1126.71,252.39999999999998,8.75,156,316,8.75,2024-06-05 11:01:34
247.20000000000005,89,1135.51,247.20000000000005,8.804,154,298,8.804,2024-06-05 11:01:35
245.79999999999995,99,1145.43,245.79999999999995,9.921,153,235,9.921,2024-06-05 11:01:36
251.79999999999995,103,1155.14,251.79999999999995,9.711,159,282,9.711,2024-06-05 11:01:37
251.60000000000002,89,1164.79,251.60000000000002,9.646,161,267,9.646,2024-06-05 11:01:38
250.0,101,1173.99,250.0,9.199,155,257,9.199,2024-06-05 11:01:39
252.79999999999995,90,1181.75,252.79999999999995,7.763,162,299,7.763,2024-06-05 11:01:40
249.60000000000002,94,1190.69,249.60000000000002,8.94,163,279,8.94,2024-06-05 11:01:41
248.39999999999998,91,1199.76,248.39999999999998,9.071,163,297,9.071,2024-06-05 11:01:42
249.0,102,1208.81,249.0,9.05,160,274,9.05,2024-06-05 11:01:43
248.0,96,1217.03,248.0,8.221,150,278,8.221,2024-06-05 11:01:44
252.0,100,1223.87,252.0,6.84,158,253,6.84,2024-06-05 11:01:45
252.60000000000002,101,1232.76,252.60000000000002,8.889,172,270,8.889,2024-06-05 11:01:46
249.39999999999998,89,1242.47,249.39999999999998,9.712,163,248,9.712,2024-06-05 11:01:47
249.0,88,1250.73,249.0,8.256,162,269,8.256,2024-06-05 11:01:48
253.20000000000005,82,1258.09,253.20000000000005,7.36,157,323,7.36,2024-06-05 11:01:49
252.0,95,1267.34,252.0,9.253,158,298,9.253,2024-06-05 11:01:50
250.0,91,1277.31,250.0,9.969,158,291,9.969,2024-06-05 11:01:51
249.79999999999995,88,1286.82,249.79999999999995,9.51,164,296,9.51,2024-06-05 11:01:52
252.20000000000005,88,1294.55,252.20000000000005,7.727,156,265,7.727,2024-06-05 11:01:53
252.20000000000005,87,1307.18,252.20000000000005,12.629,162,259,12.629,2024-06-05 11:01:54
249.0,88,1315.09,249.0,7.913,158,305,7.913,2024-06-05 11:01:55
251.20000000000005,98,1322.32,251.20000000000005,7.228,168,292,7.228,2024-06-05 11:01:56
253.60000000000002,83,1331.31,253.60000000000002,8.994,159,266,8.994,2024-06-05 11:01:57
252.79999999999995,105,1340.83,252.79999999999995,9.52,158,304,9.52,2024-06-05 11:01:58
248.0,86,1348.91,248.0,8.079,157,288,8.079,2024-06-05 11:01:59
252.0,91,1356.79,252.0,7.875,170,286,7.875,2024-06-05 11:02:00
251.0,85,1363.61,251.0,6.819,123,130,6.819,2024-06-05 11:02:01
250.0,77,1369.15,250.0,5.54,123,134,5.54,2024-06-05 11:02:02
252.0,79,1375.05,252.0,5.899,119,176,5.899,2024-06-05 11:02:03
254.39999999999998,77,1381.09,254.39999999999998,6.04,120,176,6.04,2024-06-05 11:02:04
249.39999999999998,73,1386.86,249.39999999999998,5.777,114,134,5.777,2024-06-05 11:02:05
248.79999999999995,80,1393.51,248.79999999999995,6.651,118,157,6.651,2024-06-05 11:02:06
